,index,product_name,normal_price,special_price,made_in,standard_soc_ma,algodon,poliester,elastano,viscosa,lana,poliuretano,piel,acrilico,lino,otras,fibra,liocel,poliamida,elastodieno,nailon,alpaca,elastomultiester,estireno,main_txt,total_composition,1_composition,second_txt,2_composition,tercer_elemento,num_tercer_elemento,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,certificacion_2,intertek
476,236,Other,"22,95                                          ","12,99                                          ",Turquia,True,,0.09,,0.91,,,,,,,,,,,,,,,viscosa,2,0.91,poliester,0.09,,,,,,,,,,,,,,,False
477,238,Chaqueta,"39,95                                          ","19,99                                          ",Camboya,True,0.14,0.86,,,,,,,,,,,,,,,,,poliester,2,0.86,algodon,0.14,,,,RCS,,,0.86,0.14,,,,,,RCS,True
478,239,Chaqueta,"19,95                                          ","9,99                                           ",Camboya,True,,,0.02,0.83,,,,,,,,,0.15,,,,,,viscosa,3,0.83,poliamida,0.15,elastano,2.0,,,,,,,,,,,,,False
482,240,Other,"22,95                                          ","12,99                                          ",Camboya,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
483,241,Calzado,"29,95                                          ","17,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
484,242,Calzado,"39,95                                          ","22,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
485,244,Calzado,"39,95                                          ","19,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
486,245,Calzado,"35,95                                          ","19,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
487,247,Other,"12,95                                          ","6,99                                           ",Bangladesh,True,0.9,,0.1,,,,,,,,,,,,,,,,algodon,2,0.9,elastano,0.1,,,,,,,,,,,,,,,False
490,251,Chaqueta,"29,95                                          ","15,99                                          ",Bangladesh,True,0.99,,,,,,,,,,,,0.01,,,,,,algodon,2,0.99,poliamida,0.01,,,,,,,,,,,,,,,False
491,252,Other,"29,95                                          ","17,99                                          ",Vietnam,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
492,253,Other,"39,95                                          ","22,99                                          ",China,True,,0.85,,,,,,,,,,,,15,,,,,poliester,2,0.85,elastodieno,0.15,,,,,,,,,,,,,,,False
493,254,Calzado,"29,95                                          ","19,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
494,258,Other,"35,95                                          ","19,99                                          ",China,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,RCS,,,1.0,,,,,,,,False
495,261,Chaqueta,"59,95                                          ","29,99                                          ",China,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
