,index,product_name,normal_price,special_price,made_in,standard_soc_ma,algodon,poliester,elastano,viscosa,lana,poliuretano,piel,acrilico,lino,otras,fibra,liocel,poliamida,elastodieno,nailon,alpaca,elastomultiester,estireno,main_txt,total_composition,1_composition,second_txt,2_composition,tercer_elemento,num_tercer_elemento,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,certificacion_2,intertek
223,67,Other,"59,95                                          ","29,99                                          ",Vietnam,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
224,69,Chaqueta,"69,95                                          ","39,99                                          ",Marruecos,True,0.68,0.32,,,,,,,,,,,,,,,,,algodon,2,0.68,poliester,0.32,,,,RCS,,,0.32,0.68,,,,,,RCS,True
225,70,Vestido,"19,95                                          ","9,99                                           ",Turquia,True,,0.98,0.02,,,,,,,,,,,,,,,,poliester,2,0.98,elastano,0.02,,,,,,,,,,,,,,,False
234,71,Jersey,"35,95                                          ","17,99                                          ",China,True,,,,,,,,0.95,,,,,0.05,,,,,,acrilico,2,0.95,poliamida,0.05,,,,,,,,,,,,,,,False
235,73,Chaqueta,"79,95                                          ","49,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
239,74,Jeans,"39,95                                          ","19,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,,,,,,False
240,75,Other,"39,95                                          ","22,99                                          ",Vietnam,True,,0.21,,,,70,,,,,,,,9,,,,,poliuretano,3,0.7,poliester,0.21,elastodieno,9.0,,,,,,,,,,,,,False
241,76,Other,"19,95                                          ","9,99                                           ",China,True,,,,0.56,,,,,0.13,,,,0.31,,,,,,viscosa,3,0.56,poliamida,0.31,lino,13.0,,,,,,,,,,,,,False
247,77,Other,"17,95                                          ","9,99                                           ",China,True,,,,0.73,,,,,,,,,0.27,,,,,,viscosa,2,0.73,poliamida,0.27,,,,RCS,,,,,0.27,,,RCS,,RCS,True
251,78,Other,"29,95                                          ","17,99                                          ",Vietnam,True,,0.1,,,,,,,,,,,0.9,,,,,,poliamida,2,0.9,poliester,0.1,,,,,,,,,,,,,,,False
255,79,Other,"29,95                                          ","17,99                                          ",Camboya,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
259,80,Chaqueta,"35,95                                          ","17,99                                          ",China,True,,0.43,0.01,,0.06,,,0.28,,,,,0.22,,,,,,poliester,5,0.43,acrilico,0.28,poliamida,22.0,,RCS,,,0.43,,,,,,,,True
260,81,Other,"49,95                                          ","25,99                                          ",China,True,,,,,,100,,,,,,,,,,,,,poliuretano,1,1.0,,,,,,,,,,,,,,,,,False
264,83,Camisa,"25,95                                          ","15,99                                          ",Marruecos,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,RCS,,,1.0,,,,,,,,True
268,84,Vestido,"29,95                                          ","17,99                                          ",Camboya,True,,0.29,,0.71,,,,,,,,,,,,,,,viscosa,2,0.71,poliester,0.29,,,,,,,,,,,,,,,False
274,85,Chaqueta,"79,95                                          ","49,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
275,86,Chaqueta,"49,95                                          ","29,99                                          ",Vietnam,True,,,,,,,,,,,,,1.0,,,,,,poliamida,1,1.0,,,,,,RCS,,,1.0,,1.0,,,RCS,,RCS,True
276,87,Jersey,"29,95                                          ","17,99                                          ",China,True,,0.45,0.01,,0.05,,,0.28,,,,,0.21,,,,,,poliester,5,0.45,acrilico,0.28,poliamida,21.0,,RCS,,,0.45,,,,,,,,True
277,88,Other,"39,95                                          ","22,99                                          ",China,True,,1.0,,,,,,,,,,,,,,,,,poliester,1,1.0,,,,,,,,,,,,,,,,,False
278,90,Pantalon,"25,95                                          ","12,99                                          ",Bangladesh,True,1.0,,,,,,,,,,,,,,,,,,algodon,1,1.0,,,,,,RCS,,,,0.15,,,,,,RCS,True
